x,y,potential
7.55704,2.36009,-0.179614
7.53747,2.42183,-0.16183
7.51741,2.48342,-0.144513
7.49684,2.54483,-0.127592
7.47577,2.60608,-0.111006
7.4542,2.66715,-0.0946986
7.43213,2.72805,-0.0786228
7.40956,2.78876,-0.0627339
7.3865,2.84929,-0.0469908
7.36294,2.90962,-0.0313553
7.33889,2.96976,-0.0157906
7.31435,3.0297,-0.000261241
7.28932,3.08944,0.0152676
7.2638,3.14897,0.030831
7.23779,3.20829,0.0464643
7.2113,3.2674,0.0622041
7.18433,3.32629,0.0780888
7.15688,3.38495,0.0941593
7.12895,3.44339,0.11046
7.10054,3.5016,0.127038
7.07165,3.55957,0.14395
7.04229,3.61731,0.161255
7.01246,3.6748,0.179026
6.98217,3.73205,0.197344
6.9514,3.78904,0.21631
6.92017,3.84579,0.236045
6.88847,3.90227,0.256702
6.85632,3.9585,0.278475
6.8237,4.01446,0.301624
6.79063,4.07015,0.326504
6.75711,4.12557,0.353629
6.72313,4.18071,0.383779
6.6887,4.23557,0.4182
6.65383,4.29015,0.458865
6.6185,4.34444,0.507545
6.58274,4.39845,0.544625
6.54654,4.45215,0.559197
6.50989,4.50556,0.566625
6.47281,4.55867,0.571138
6.4353,4.61147,0.574201
6.39736,4.66397,0.576435
6.35899,4.71615,0.578144
6.32019,4.76801,0.579496
6.28097,4.81956,0.580594
6.24133,4.87078,0.5815
6.20128,4.92168,0.582258
6.1608,4.97225,0.5829
6.11992,5.02249,0.583446
6.07862,5.07239,0.583913
6.03692,5.12195,0.584312
5.99482,5.17117,0.584654
5.95231,5.22004,0.584946
5.90941,5.26856,0.585192
5.86611,5.31673,0.585398
5.82241,5.36454,0.585568
5.77833,5.412,0.585703
5.73386,5.45909,0.585806
5.68901,5.50582,0.585878
5.64377,5.55217,0.585921
